faithfulness,answer_relevancy,context_precision,context_recall,scenario_id,cell,pattern
1.0,0.2521,1.0,0.4208,P012-Q05-F-비존재,1,F-비존재
0.3385,0.7883,0.0,0.3219,P012-Q06-F-시점오류,1,F-시점오류
0.4141,0.6745,0.0,0.3219,P012-Q07-ADV-부분일치,1,ADV-부분일치
0.3397,0.807,0.0,0.3219,P012-Q08-ADV-시점근접,1,ADV-시점근접
0.4266,0.5685,0.0,0.3219,P012-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.3652,1.0,1.0,P013-Q01-T-거주지,1,T-거주지
1.0,0.7925,1.0,1.0,P013-Q02-T-직업,1,T-직업
1.0,0.3904,1.0,1.0,P013-Q03-T-학력,1,T-학력
0.4807,0.5574,0.0,0.2972,P013-Q04-F-반대,1,F-반대
1.0,0.2381,1.0,0.4115,P013-Q05-F-비존재,1,F-비존재
0.3402,0.7768,0.0,0.2972,P013-Q06-F-시점오류,1,F-시점오류
0.3465,0.6205,0.0,0.2972,P013-Q07-ADV-부분일치,1,ADV-부분일치
0.3402,0.8125,0.0,0.2972,P013-Q08-ADV-시점근접,1,ADV-시점근접
0.3879,0.5678,0.0,0.2972,P013-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4125,1.0,1.0,P014-Q01-T-거주지,1,T-거주지
1.0,0.7966,1.0,1.0,P014-Q02-T-직업,1,T-직업
1.0,0.8462,1.0,1.0,P014-Q03-T-학력,1,T-학력
0.3628,0.6936,0.0,0.2884,P014-Q04-F-반대,1,F-반대
1.0,0.2532,1.0,0.4282,P014-Q05-F-비존재,1,F-비존재
0.3334,0.786,0.0,0.2884,P014-Q06-F-시점오류,1,F-시점오류
0.3226,0.7247,0.0,0.2884,P014-Q07-ADV-부분일치,1,ADV-부분일치
0.3334,0.823,0.0,0.2884,P014-Q08-ADV-시점근접,1,ADV-시점근접
0.442,0.6535,0.0,0.2884,P014-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4366,1.0,1.0,P015-Q01-T-거주지,1,T-거주지
1.0,0.8054,1.0,1.0,P015-Q02-T-직업,1,T-직업
1.0,0.8402,1.0,1.0,P015-Q03-T-학력,1,T-학력
0.3809,0.6763,0.0,0.288,P015-Q04-F-반대,1,F-반대
1.0,0.2218,1.0,0.4032,P015-Q05-F-비존재,1,F-비존재
0.3353,0.7613,0.0,0.288,P015-Q06-F-시점오류,1,F-시점오류
0.367,0.8411,0.0,0.288,P015-Q07-ADV-부분일치,1,ADV-부분일치
0.3353,0.7979,0.0,0.288,P015-Q08-ADV-시점근접,1,ADV-시점근접
0.4217,0.5644,0.0,0.288,P015-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4709,1.0,1.0,P016-Q01-T-거주지,1,T-거주지
1.0,0.7871,1.0,1.0,P016-Q02-T-직업,1,T-직업
1.0,0.8164,1.0,1.0,P016-Q03-T-학력,1,T-학력
0.4962,0.4954,0.0,0.3209,P016-Q04-F-반대,1,F-반대
1.0,0.2622,1.0,0.4334,P016-Q05-F-비존재,1,F-비존재
0.3569,0.7725,0.0,0.3209,P016-Q06-F-시점오류,1,F-시점오류
0.3431,0.663,0.0,0.3209,P016-Q07-ADV-부분일치,1,ADV-부분일치
0.3569,0.8019,0.0,0.3209,P016-Q08-ADV-시점근접,1,ADV-시점근접
0.4623,0.6228,0.0,0.3209,P016-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4624,1.0,1.0,P017-Q01-T-거주지,1,T-거주지
1.0,0.7652,1.0,1.0,P017-Q02-T-직업,1,T-직업
1.0,0.8324,1.0,1.0,P017-Q03-T-학력,1,T-학력
0.3825,0.668,0.0,0.2932,P017-Q04-F-반대,1,F-반대
1.0,0.3219,1.0,0.4437,P017-Q05-F-비존재,1,F-비존재
0.3424,0.7578,0.0,0.2932,P017-Q06-F-시점오류,1,F-시점오류
0.3618,0.6639,0.0,0.2932,P017-Q07-ADV-부분일치,1,ADV-부분일치
0.3424,0.8062,0.0,0.2932,P017-Q08-ADV-시점근접,1,ADV-시점근접
0.4222,0.6402,0.0,0.2932,P017-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.5194,1.0,1.0,P018-Q01-T-거주지,1,T-거주지
1.0,0.8043,1.0,1.0,P018-Q02-T-직업,1,T-직업
1.0,0.8373,1.0,1.0,P018-Q03-T-학력,1,T-학력
0.5038,0.5073,0.0,0.3125,P018-Q04-F-반대,1,F-반대
1.0,0.2656,1.0,0.4302,P018-Q05-F-비존재,1,F-비존재
0.3574,0.8398,0.0,0.3125,P018-Q06-F-시점오류,1,F-시점오류
0.5121,0.6527,0.0,0.3125,P018-Q07-ADV-부분일치,1,ADV-부분일치
0.3574,0.8394,0.0,0.3125,P018-Q08-ADV-시점근접,1,ADV-시점근접
0.4266,0.6393,0.0,0.3125,P018-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4447,1.0,1.0,P019-Q01-T-거주지,1,T-거주지
1.0,0.7966,1.0,1.0,P019-Q02-T-직업,1,T-직업
1.0,0.8463,1.0,1.0,P019-Q03-T-학력,1,T-학력
0.4807,0.5093,0.0,0.3056,P019-Q04-F-반대,1,F-반대
1.0,0.2671,1.0,0.4565,P019-Q05-F-비존재,1,F-비존재
0.3416,0.7767,0.0,0.3056,P019-Q06-F-시점오류,1,F-시점오류
0.4906,0.6744,0.0,0.3056,P019-Q07-ADV-부분일치,1,ADV-부분일치
0.3416,0.8167,0.0,0.3056,P019-Q08-ADV-시점근접,1,ADV-시점근접
0.452,0.6072,0.0,0.3056,P019-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4578,1.0,1.0,P020-Q01-T-거주지,1,T-거주지
1.0,0.8037,1.0,1.0,P020-Q02-T-직업,1,T-직업
1.0,0.856,1.0,1.0,P020-Q03-T-학력,1,T-학력
0.4838,0.5189,0.0,0.3029,P020-Q04-F-반대,1,F-반대
1.0,0.2457,1.0,0.4205,P020-Q05-F-비존재,1,F-비존재
0.351,0.7615,0.0,0.3029,P020-Q06-F-시점오류,1,F-시점오류
0.3696,0.7342,0.0,0.3029,P020-Q07-ADV-부분일치,1,ADV-부분일치
0.3496,0.8188,0.0,0.3029,P020-Q08-ADV-시점근접,1,ADV-시점근접
0.4055,0.6637,0.0,0.3029,P020-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4123,1.0,1.0,P021-Q01-T-거주지,1,T-거주지
1.0,0.7006,1.0,1.0,P021-Q02-T-직업,1,T-직업
1.0,0.8454,1.0,1.0,P021-Q03-T-학력,1,T-학력
0.4962,0.4962,0.0,0.2825,P021-Q04-F-반대,1,F-반대
1.0,0.238,1.0,0.4295,P021-Q05-F-비존재,1,F-비존재
0.3226,0.7819,0.0,0.2825,P021-Q06-F-시점오류,1,F-시점오류
0.3524,0.7167,0.0,0.2825,P021-Q07-ADV-부분일치,1,ADV-부분일치
0.3226,0.8181,0.0,0.2825,P021-Q08-ADV-시점근접,1,ADV-시점근접
0.395,0.5719,0.0,0.2825,P021-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.6903,1.0,1.0,P022-Q01-T-거주지,1,T-거주지
1.0,0.7964,1.0,1.0,P022-Q02-T-직업,1,T-직업
1.0,0.8136,1.0,1.0,P022-Q03-T-학력,1,T-학력
0.3852,0.6923,0.0,0.2917,P022-Q04-F-반대,1,F-반대
1.0,0.2982,1.0,0.4188,P022-Q05-F-비존재,1,F-비존재
0.3437,0.7648,0.0,0.2917,P022-Q06-F-시점오류,1,F-시점오류
0.3802,0.8456,0.0,0.2917,P022-Q07-ADV-부분일치,1,ADV-부분일치
0.3437,0.8062,0.0,0.2917,P022-Q08-ADV-시점근접,1,ADV-시점근접
0.4429,0.6046,0.0,0.2917,P022-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.3741,1.0,1.0,P023-Q01-T-거주지,1,T-거주지
1.0,0.7483,1.0,1.0,P023-Q02-T-직업,1,T-직업
1.0,0.8641,1.0,1.0,P023-Q03-T-학력,1,T-학력
0.3795,0.7042,0.0,0.3098,P023-Q04-F-반대,1,F-반대
1.0,0.2708,1.0,0.4125,P023-Q05-F-비존재,1,F-비존재
0.3495,0.8279,0.0,0.3098,P023-Q06-F-시점오류,1,F-시점오류
0.372,0.7501,0.0,0.3098,P023-Q07-ADV-부분일치,1,ADV-부분일치
0.3495,0.8273,0.0,0.3098,P023-Q08-ADV-시점근접,1,ADV-시점근접
0.4439,0.5886,0.0,0.3098,P023-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4833,1.0,1.0,P024-Q01-T-거주지,1,T-거주지
1.0,0.7996,1.0,1.0,P024-Q02-T-직업,1,T-직업
1.0,0.8382,1.0,1.0,P024-Q03-T-학력,1,T-학력
0.4764,0.5109,0.0,0.2552,P024-Q04-F-반대,1,F-반대
1.0,0.2086,1.0,0.3945,P024-Q05-F-비존재,1,F-비존재
0.3204,0.8254,0.0,0.2552,P024-Q06-F-시점오류,1,F-시점오류
0.4833,0.6924,0.0,0.2552,P024-Q07-ADV-부분일치,1,ADV-부분일치
0.3204,0.8031,0.0,0.2552,P024-Q08-ADV-시점근접,1,ADV-시점근접
0.4047,0.5803,0.0,0.2552,P024-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.518,1.0,1.0,P025-Q01-T-거주지,1,T-거주지
1.0,0.7874,1.0,1.0,P025-Q02-T-직업,1,T-직업
1.0,0.7958,1.0,1.0,P025-Q03-T-학력,1,T-학력
0.3785,0.6796,0.0,0.2886,P025-Q04-F-반대,1,F-반대
1.0,0.2763,1.0,0.4042,P025-Q05-F-비존재,1,F-비존재
0.3151,0.7498,0.0,0.2886,P025-Q06-F-시점오류,1,F-시점오류
0.3484,0.8303,0.0,0.2886,P025-Q07-ADV-부분일치,1,ADV-부분일치
0.3151,0.8109,0.0,0.2886,P025-Q08-ADV-시점근접,1,ADV-시점근접
0.4353,0.6448,0.0,0.2886,P025-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4726,1.0,1.0,P026-Q01-T-거주지,1,T-거주지
1.0,0.7849,1.0,1.0,P026-Q02-T-직업,1,T-직업
1.0,0.803,1.0,1.0,P026-Q03-T-학력,1,T-학력
0.3846,0.6792,0.0,0.3122,P026-Q04-F-반대,1,F-반대
1.0,0.2854,1.0,0.4301,P026-Q05-F-비존재,1,F-비존재
0.3411,0.8132,0.0,0.3122,P026-Q06-F-시점오류,1,F-시점오류
0.357,0.8452,0.0,0.3122,P026-Q07-ADV-부분일치,1,ADV-부분일치
0.342,0.7613,0.0,0.3122,P026-Q08-ADV-시점근접,1,ADV-시점근접
0.4681,0.5697,0.0,0.3122,P026-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.3789,1.0,1.0,P027-Q01-T-거주지,1,T-거주지
1.0,0.8052,1.0,1.0,P027-Q02-T-직업,1,T-직업
1.0,0.8435,1.0,1.0,P027-Q03-T-학력,1,T-학력
0.3502,0.7068,0.0,0.2724,P027-Q04-F-반대,1,F-반대
1.0,0.2563,1.0,0.4063,P027-Q05-F-비존재,1,F-비존재
0.3319,0.8295,0.0,0.2724,P027-Q06-F-시점오류,1,F-시점오류
0.5107,0.6742,0.0,0.2724,P027-Q07-ADV-부분일치,1,ADV-부분일치
0.3319,0.8125,0.0,0.2724,P027-Q08-ADV-시점근접,1,ADV-시점근접
0.4403,0.5588,0.0,0.2724,P027-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4427,1.0,1.0,P028-Q01-T-거주지,1,T-거주지
1.0,0.7919,1.0,1.0,P028-Q02-T-직업,1,T-직업
1.0,0.8165,1.0,1.0,P028-Q03-T-학력,1,T-학력
0.3805,0.6632,0.0,0.2938,P028-Q04-F-반대,1,F-반대
1.0,0.2691,1.0,0.4128,P028-Q05-F-비존재,1,F-비존재
0.3341,0.7652,0.0,0.2938,P028-Q06-F-시점오류,1,F-시점오류
0.396,0.8261,0.0,0.2938,P028-Q07-ADV-부분일치,1,ADV-부분일치
0.4921,0.5539,0.0,0.2938,P028-Q08-ADV-시점근접,1,ADV-시점근접
0.4217,0.6123,0.0,0.2938,P028-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4528,1.0,1.0,P029-Q01-T-거주지,1,T-거주지
1.0,0.806,1.0,1.0,P029-Q02-T-직업,1,T-직업
1.0,0.8428,1.0,1.0,P029-Q03-T-학력,1,T-학력
0.4027,0.6599,0.0,0.3144,P029-Q04-F-반대,1,F-반대
1.0,0.2818,1.0,0.4013,P029-Q05-F-비존재,1,F-비존재
0.3354,0.7992,0.0,0.3144,P029-Q06-F-시점오류,1,F-시점오류
0.3189,0.8514,0.0,0.3144,P029-Q07-ADV-부분일치,1,ADV-부분일치
0.3354,0.8257,0.0,0.3144,P029-Q08-ADV-시점근접,1,ADV-시점근접
0.4285,0.6127,0.0,0.3144,P029-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4509,1.0,1.0,P030-Q01-T-거주지,1,T-거주지
1.0,0.7716,1.0,1.0,P030-Q02-T-직업,1,T-직업
1.0,0.8247,1.0,1.0,P030-Q03-T-학력,1,T-학력
0.3937,0.6948,0.0,0.312,P030-Q04-F-반대,1,F-반대
1.0,0.249,1.0,0.4285,P030-Q05-F-비존재,1,F-비존재
0.344,0.7943,0.0,0.312,P030-Q06-F-시점오류,1,F-시점오류
0.3835,0.8264,0.0,0.312,P030-Q07-ADV-부분일치,1,ADV-부분일치
0.344,0.7914,0.0,0.312,P030-Q08-ADV-시점근접,1,ADV-시점근접
0.4442,0.5904,0.0,0.312,P030-Q09-ADV-유사인물,1,ADV-유사인물
1.0,0.4931,0.4,1.0,P001-Q01-T-거주지,3,T-거주지
1.0,0.7644,0.4,1.0,P001-Q02-T-직업,3,T-직업
1.0,0.8538,0.2,1.0,P001-Q03-T-학력,3,T-학력
0.4065,0.6874,0.0,0.2747,P001-Q04-F-반대,3,F-반대
1.0,0.2453,0.2,0.3532,P001-Q05-F-비존재,3,F-비존재
0.3617,0.8218,0.0,0.2747,P001-Q06-F-시점오류,3,F-시점오류
0.3648,0.811,0.0,0.2747,P001-Q07-ADV-부분일치,3,ADV-부분일치
0.3617,0.8298,0.0,0.2747,P001-Q08-ADV-시점근접,3,ADV-시점근접
0.3537,0.6719,0.0,0.2937,P001-Q09-ADV-유사인물,3,ADV-유사인물
1.0,0.4816,0.4,1.0,P002-Q01-T-거주지,3,T-거주지
1.0,0.7989,0.6,1.0,P002-Q02-T-직업,3,T-직업
1.0,0.8287,0.2,1.0,P002-Q03-T-학력,3,T-학력
0.4999,0.5234,0.0,0.2622,P002-Q04-F-반대,3,F-반대
1.0,0.2737,0.6,0.4923,P002-Q05-F-비존재,3,F-비존재
0.339,0.8161,0.0,0.2728,P002-Q06-F-시점오류,3,F-시점오류
0.4979,0.6401,0.0,0.2494,P002-Q07-ADV-부분일치,3,ADV-부분일치
0.339,0.8141,0.0,0.2728,P002-Q08-ADV-시점근접,3,ADV-시점근접
0.4572,0.683,0.0,0.271,P002-Q09-ADV-유사인물,3,ADV-유사인물
1.0,0.4587,0.4,1.0,P003-Q01-T-거주지,3,T-거주지
1.0,0.8088,0.8,1.0,P003-Q02-T-직업,3,T-직업
1.0,0.8594,0.4,1.0,P003-Q03-T-학력,3,T-학력
0.3963,0.7226,0.0,0.2724,P003-Q04-F-반대,3,F-반대
1.0,0.2829,0.2,0.3803,P003-Q05-F-비존재,3,F-비존재
0.3459,0.8002,0.0,0.2805,P003-Q06-F-시점오류,3,F-시점오류
0.3816,0.8846,0.0,0.2805,P003-Q07-ADV-부분일치,3,ADV-부분일치
0.3459,0.8454,0.0,0.2805,P003-Q08-ADV-시점근접,3,ADV-시점근접
0.3599,0.7581,0.0,0.2805,P003-Q09-ADV-유사인물,3,ADV-유사인물
1.0,0.4009,0.4,1.0,P004-Q01-T-거주지,3,T-거주지
1.0,0.8032,0.4,1.0,P004-Q02-T-직업,3,T-직업
1.0,0.8425,0.2,1.0,P004-Q03-T-학력,3,T-학력
0.4841,0.4148,0.0,0.2758,P004-Q04-F-반대,3,F-반대
1.0,0.2318,0.2,0.3967,P004-Q05-F-비존재,3,F-비존재
0.346,0.7959,0.0,0.2758,P004-Q06-F-시점오류,3,F-시점오류
0.2866,0.8544,0.0,0.2758,P004-Q07-ADV-부분일치,3,ADV-부분일치
0.346,0.8383,0.0,0.2758,P004-Q08-ADV-시점근접,3,ADV-시점근접
0.419,0.5763,0.0,0.2758,P004-Q09-ADV-유사인물,3,ADV-유사인물
1.0,0.4981,0.6,1.0,P005-Q01-T-거주지,3,T-거주지
1.0,0.7321,0.4,1.0,P005-Q02-T-직업,3,T-직업
1.0,0.8436,0.2,1.0,P005-Q03-T-학력,3,T-학력
0.4298,0.6897,0.0,0.2962,P005-Q04-F-반대,3,F-반대
1.0,0.2308,0.2,0.3612,P005-Q05-F-비존재,3,F-비존재
0.3594,0.8413,0.0,0.2962,P005-Q06-F-시점오류,3,F-시점오류
0.3977,0.873,0.0,0.2962,P005-Q07-ADV-부분일치,3,ADV-부분일치
0.3594,0.8597,0.0,0.2962,P005-Q08-ADV-시점근접,3,ADV-시점근접
0.3546,0.7186,0.0,0.2962,P005-Q09-ADV-유사인물,3,ADV-유사인물
1.0,0.3856,0.6,1.0,P006-Q01-T-거주지,3,T-거주지
1.0,0.7016,0.6,1.0,P006-Q02-T-직업,3,T-직업
1.0,0.8382,0.2,1.0,P006-Q03-T-학력,3,T-학력
0.3783,0.6349,0.0,0.2873,P006-Q04-F-반대,3,F-반대
1.0,0.2319,0.4,0.5007,P006-Q05-F-비존재,3,F-비존재
0.3362,0.7736,0.0,0.2829,P006-Q06-F-시점오류,3,F-시점오류
0.3549,0.7269,0.0,0.2873,P006-Q07-ADV-부분일치,3,ADV-부분일치
0.3362,0.8237,0.0,0.2829,P006-Q08-ADV-시점근접,3,ADV-시점근접
0.4575,0.6752,0.0,0.2829,P006-Q09-ADV-유사인물,3,ADV-유사인물
1.0,0.3658,0.6,1.0,P007-Q01-T-거주지,3,T-거주지
1.0,0.805,0.8,1.0,P007-Q02-T-직업,3,T-직업
1.0,0.8534,0.4,1.0,P007-Q03-T-학력,3,T-학력
0.362,0.7027,0.0,0.2676,P007-Q04-F-반대,3,F-반대
1.0,0.2472,0.8,0.488,P007-Q05-F-비존재,3,F-비존재
0.3593,0.6914,0.0,0.2683,P007-Q06-F-시점오류,3,F-시점오류
0.3309,0.8174,0.0,0.2676,P007-Q07-ADV-부분일치,3,ADV-부분일치
0.3611,0.6964,0.0,0.2683,P007-Q08-ADV-시점근접,3,ADV-시점근접
0.4373,0.7391,0.0,0.2676,P007-Q09-ADV-유사인물,3,ADV-유사인물
1.0,0.4613,0.4,1.0,P008-Q01-T-거주지,3,T-거주지
1.0,0.796,0.2,1.0,P008-Q02-T-직업,3,T-직업
1.0,0.8503,0.2,1.0,P008-Q03-T-학력,3,T-학력
0.5528,0.5527,0.0,0.281,P008-Q04-F-반대,3,F-반대
1.0,0.2779,0.2,0.431,P008-Q05-F-비존재,3,F-비존재
0.38,0.7422,0.0,0.281,P008-Q06-F-시점오류,3,F-시점오류
0.542,0.6767,0.0,0.281,P008-Q07-ADV-부분일치,3,ADV-부분일치
0.38,0.7978,0.0,0.281,P008-Q08-ADV-시점근접,3,ADV-시점근접
0.3887,0.7132,0.0,0.281,P008-Q09-ADV-유사인물,3,ADV-유사인물
1.0,0.4592,0.4,1.0,P009-Q01-T-거주지,3,T-거주지
